Year_Month,Business_expenditure_on_Technology
2008M01,7300
2008M02,8550
2008M03,1087
2008M04,9660
2008M05,9460
2008M06,1019
2008M07,9090
2008M08,1080
2008M09,1095
2008M10,1092
2008M11,1005
2008M12,1214
2009M01,6330
2009M02,8011
2009M03,9899
2009M04,1008
2009M05,9770
2009M06,1014
2009M07,9630
2009M08,1104
2009M09,1043
2009M10,9880
2009M11,1089
2009M12,1067
2010M01,7250
2010M02,8260
2010M03,8990
2010M04,8080
2010M05,8980
2010M06,8500
2010M07,7920
2010M08,1185
2010M09,1082
2010M10,1056
2010M11,1060
2010M12,1060
2011M01,7000
2011M02,9070
2011M03,9580
2011M04,8100
2011M05,9810
2011M06,9580
2011M07,1038
2011M08,9990
2011M09,1054
2011M10,1105
2011M11,1083
2011M12,1126
2012M01,7190
2012M02,7580
2012M03,9000
2012M04,8560
2012M05,9400
2012M06,9750
2012M07,9580
2012M08,1078
2012M09,1122
2012M10,1107
2012M11,9890
2012M12,1196
2013M01,6680
2013M02,8880
2013M03,9510
2013M04,9680
2013M05,9320
2013M06,1027
2013M07,1176
2013M08,8920
2013M09,1102
2013M10,1173
2013M11,1025
2013M12,1351
2014M01,7580
2014M02,8860
2014M03,1015
2014M04,8740
2014M05,9600
2014M06,1020
2014M07,1434
2014M08,1165
2014M09,1089
2014M10,1179
2014M11,1232
2014M12,1284
2014M01,8420
2014M02,8690
2014M03,1050
2014M04,9680
2014M05,1094
2014M06,1008
2014M07,9590
2014M08,1250
2014M09,1097
2014M10,1086
2014M11,1118
2014M12,1110
2015M01,8470
2015M02,8520
2015M03,1305
2015M04,1131
2015M05,1297
2015M06,1324
2015M07,1309
2015M08,1265
2015M09,1382
2015M10,1430
2015M11,1363
2015M12,1346
2016M01,1403
2016M02,1352
2016M03,1378
2016M04,1365
2016M05,1337
2016M06,1415
2016M07,1351
2016M08,1331
2016M09,1408
2016M10,1394
2016M11,1367
2016M12,1349
2017M01,1504
2017M02,1427
2017M03,1428
2017M04,1439
2017M05,1448
2017M06,1471
2017M07,1504
2017M08,1442
2017M09,1441
2017M10,1443
2017M11,1442
2017M12,1268
2018M01,1313
2018M02,1309
2018M03,1239
2018M04,1260
2018M05,1251
2018M06,1299
2018M07,1208
2018M08,1307
2018M09,1337
2018M10,1354
2018M11,1315
2018M12,1403
2019M01,1475
2019M02,1381
2019M03,1482
2019M04,1468
